"","X5","X6","X8","X24","X29"
"1","Heptranchus","perlo","Heptranchus perlo","27-1000m;248m","x"
"2","Hexanchus","griseus","Hexanchus griseus","j sh; us>91-2490m;300-320m",NA
"3","Hexanchus","nakamurai","Hexanchus nakamurai","90-702m","x"
"4","Rhincodon","typus","Rhincodon typus","0-1928m","1"
"5","Stegostoma","tigrinum","Stegastoma fasciatum","1-90m","1"
"6","Nebrius","ferrugineus","Nebrius ferrugineus","1-70m(440m)","1"
"7","Odontaspis","ferox","Odontaspis ferox","10-1015",NA
"8","Odontaspis","noronhai","Odontaspis noronhai","(35)600-1000m",NA
"9","Carcharodon","carcharias","Carcharodon carcharias","1-1280m",NA
"10","Isurus","oxyrhinchus","Isurus oxyrhinchus","0-750m",NA
"11","Alopias","pelagicus","Alopias pelagicus","0-300m",NA
"12","Alopias","superciliosus","Alopias superciliosus","0-723m",NA
"13","Carcharhinus","albimarginatus","Carcharhinus albimarginatus","1-800m","1"
"14","Carcharhinus","altimus","Carcharhinus altimus","0(25)-810m",NA
"15","Carcharhinus","amblyrhynchoides","Carcharhinus amblyrhynchoides","shallow coastal pelagic","1?"
"16","Carcharhinus","amblyrhynchos","Carcharhinus amblyrhynchos","1-275m","1"
"17","Carcharhinus","falciformis","Carcharhinus falciformis","0-500m","1"
"18","Carcharhinus","galapagensis","Carcharhinus galapagensis","1-286m",NA
"19","Carcharhinus","leucas","Carcharhinus leucas","1-164m(500m)","1"
"20","Carcharhinus","limbatus","Carcharhinus limbatus","0-140m","1"
"21","Carcharhinus","longimanus","Carcharhinus longimanus","1-1082m","o"
"22","Carcharhinus","melanopterus","Carcharhinus melanopterus","1-30m(100m)","1"
"23","Carcharhinus","plumbeus","Carcharhinus plumbeus","1-280m",NA
"24","Galeocerdo","cuvier","Galeocerdo cuvier","1-1112m","1"
"25","Negaprion","acutidens","Negaprion acutidens","1-90m","1"
"26","Prionace","glauca","Prionace glauca","1-1000m","x"
"27","Rhizoprionodon","oligolinx","Rhizoprionodon oligolinx","1-36(145)m","1"
"28","Triaenodon","obesus","Triaenodon obesus","2-100m(330m)","1"
"29","Sphyrna","lewini","Sphyrna lewini","1-1043m","1"
"30","Sphyrna","mokarran","Sphyrna mokorran","1-300m","1"
"31","Sphyrna","unid",NA,NA,NA
"32","Isistius","brasiliensis","Isistius brasiliensis","0(85)-3700m",NA
"33","Squalus","cf mitsukurii cplx",NA,NA,NA
"34","Rhina","ancylostomus","Rhina anclystoma","3-90m","1"
"35","Rhynchobatus","australiae","Rhynchobatus australiae","1-60m","1"
"36","Tetronarce","formosa","Tetronarce formosa","335–340 m","?"
"37","Tetronarce","sp","Tetronarce sp","sh-dslp","1"
"38","Pteroplatytrygon","violacea","Pteroplatytrygon violacea","1-240m",NA
"39","Taeniurops","meyeni","Taeniurops meyeni","1-439m","1"
"40","Neotrygon","kuhlii","Neotrygon kuhli",NA,"1"
"41","Himantura","leoparda","Himantura leoparda","sh-70m",NA
"42","Himantura","uarnak","Himantura uarnak",".5-50m","1"
"43","Pateobatis","fai","Pateobatis fai","2-70(200)m","1"
"44","Urogymnus","asperrimus","Urogymnus asperrimus","2-100m","1"
"45","Urogymnus","granulatus","Urogymnus granulatus","1-85m","1"
"46","Pastinachus","ater","Pastinachus ater","1-60m","1"
"47","Plesiobatis","daviesi","Plesiobatis daviesi","44->800m; Hi 185-780m",NA
"48","Aetomylaeus","vespertilio","Aetomylaeus vespertilio","inshore-110m","1"
"49","Aetobatus","ocellatus","Aetobatus ocellatus","1-90m","1"
"50","Mobula","alfredi","Mobula alfredi","0-100m","1"
"51","Mobula","mobular","Mobula mobular","0-50m","1"
"52","Mobula","sp.","Mobula sp.",NA,NA
"53","Mobula","tarapacana","Mobula tarapacana","0-30m","?"
"54","Megalops","cyprinoides","Megalops cyprinoides","1-50m","1"
"55","Albula","argentea","Albula argentea","2-50m","e"
"56","Albula","glossodonta","Albula glossodonta","1-50m","1"
"57","Albula","unid sp",NA,NA,NA
"58","Protanguilla","palau","Protanguilla palau","35m","1"
"59","Anguilla","marmorata","Anguilla marmorata",NA,"1"
"60","Anguilla","bicolor","Anguilla pacifica",NA,"1"
"61","Anguilla","unid. sp.",NA,NA,NA
"62","Moringua","abbreviata","Moringua abbreviata",NA,NA
"63","Moringua","ferruginea","Moringua ferruginea","1-40m","1"
"64","Moringua","javanica","Moringua javanica","1-15m","1"
"65","Moringua","microchir","Moringua microchir","3-20m","1"
"66","Moringua","unid. Spp.",NA,NA,NA
"67","Boehlkenchelys","longidentata","Boehlkenchelys longidentata","18-24m","1"
"68","Chilorhinus","platyrhynchus","Chilorhinus platyrhynchus","7-200m","1"
"69","Kaupichthys","atronasus","Kaupichthys atronasus","2-15m","1"
"70","Kaupichthys","brachychirus","Kaupichthys brachychirus","6-45m","1"
"71","Kaupichthys","diodontus","Kaupichthys diodontus","0-56(95?)m","1"
"72","Kaupichthys","spp.",NA,NA,NA
"73","unid","unid spp",NA,NA,NA
"74","Xenoconger","fryeri","Xenoconger fryeri","1-5m","1"
"75","Myroconger",NA,NA,"320-640m",NA
"76","Myroconger",NA,NA,"200m",NA
"77","Echidna","delicatula","Echidna delicatula","1-50m","1"
"78","Echidna","leucotaenia","Echidna leucotaenia","1-50m",NA
"79","Echidna","nebulosa","Echidna nebulosa","1-48m","1"
"80","Echidna","polyzona","Echidna polyzona","1-20m","1"
"81","Echidna","unicolor","Echidna unicolor","tidepools-25m","1"
"82","Enchelycore","bayeri","Enchelycore bayeri","1.5-64m","1"
"83","Enchelycore","bikiniensis","Enchelycore bikiniensis","shallow","1"
"84","Enchelycore","kamara","Enchelycore kamara",NA,"1"
"85","Enchelycore","schismatorhynchus","Enchelycore schismatorhynchus","3-35m","1"
"86","Enchelynassa","canina","Enchelynassa canina","1-30m",NA
"87","Gymnomuraena","zebra","Gymnomuraena zebra","0.5-50m","1"
"88","Gymnothorax","berndti","Gymnothorax berndti","40-350m; ≥128m in HI","1"
"89","Gymnothorax","breedeni","Gymnothorax breedeni","5-40m","1"
"90","Gymnothorax","buroensis","Gymnothorax buroensis","1-25m","1"
"91","Gymnothorax","neglectus","Gymnothorax neglectus","337-374m",NA
"92","Gymnothorax","pseudothyrsoideus","Gymnothorax pseudothyrsoideus",NA,"1"
"93","Gymnothorax","chilospilus","Gymnothorax chilospilus","1-45m","1"
"94","Gymnothorax","elegans","Gymnothorax elegans","92-180(400)m",NA
"95","Gymnothorax","enigmaticus","Gymnothorax enigmaticus","1-15m","1"
"96","Gymnothorax","fimbriatus","Gymnothorax fimbriatus","1-50m","1"
"97","Gymnothorax","flavimarginatus","Gymnothorax flavimarginatus","0.5-150m","1"
"98","Gymnothorax","fuscomaculatus","Gymnothorax fuscomaculatus","1-22m","1"
"99","Gymnothorax","gracilicauda","Gymnothorax gracilicauda","1-20m","1"
"100","Gymnothorax","isingteena","Gymnothorax isingteena","3-30m","1"
"101","Gymnothorax","javanicus","Gymnothorax javanicus",".3-50m","1"
"102","Gymnothorax","kontodontos","Gymnothorax kontodontos","6->24m","e"
"103","Gymnothorax","margaritophorus","Gymnothorax margaritophorus","1-25m","1"
"104","Gymnothorax","marshallensis","Gymnothorax marshallensis","1-10m","1"
"105","Gymnothorax","melatremus","Gymnothorax melatremus","1-58m","1"
"106","Gymnothorax","meleagris","Gymnothorax meleagris","1-64m","1"
"107","Gymnothorax","microstictus","Gymnothorax microstictus","5-36m","1"
"108","Gymnothorax","monochrous","Gymnothorax monochrous","1-20m","1"
"109","Gymnothorax","monostigma","Gymnothorax monostigma","surge ch.","1"
"110","Gymnothorax","neglectus","Gymnothorax neglectus","238mGuam","1"
"111","Gymnothorax","nudivomer","Gymnothorax nudivomer","3-271m",NA
"112","Gymnothorax","pindae","Gymnothorax pindae","1-43m","1"
"113","Gymnothorax","polyuranodon","Gymnothorax polyuranodon",NA,"1"
"114","Gymnothorax","pseudoherrei","Gymnothorax pseudoherrei","1-15m","1"
"115","Gymnothorax","reevesii","Gymnothorax reevesii","3-55m","1"
"116","Gymnothorax","richardsonii","Gymnothorax richardsoni","1-12m","1"
"117","Gymnothorax","robinsi","Gymnothorax robinsi","3-35m","1"
"118","Gymnothorax","rueppelliae","Gymnothorax rueppellii","1-55m","1"
"119","Gymnothorax","sp A Marianas cf intesi",NA,"279-280m",NA
"120","Gymnothorax","sp. 1/spp.",NA,NA,NA
"121","Gymnothorax","steindachneri","Gymnothorax steindachneri","5-180m",NA
"122","Gymnothorax","undulatus","Gymnothorax undulatus","1-110m","1"
"123","Gymnothorax","zonipectis","Gymnothorax zonipectis","4-45m","1"
"124","Gymnothorax","pictus","Gymnothorax Siderea pictus","0-25m","1"
"125","Gymnothorax (Siderea)","thyrsoideus","Gymnothorax Siderea thyrsoideus","1-30m",NA
"126","Pseudechidna","brummeri","Pseudechidna brummeri","0.2-50m","1"
"127","Rhinomuraena","quaesita","Rhinomuraena quaesita","1-67m","1"
"128","Strophidon","sathete","Strophidon sathete","1-62m","1"
"129","Anarchias","allardicei","Anarchias allardicei","tidepool","1"
"130","Anarchias","cantonensis","Anarchias cantonensis","0-10m",NA
"131","Anarchias","schultzi","Anarchias schultzi","0-14m",NA
"132","Anarchias","seychellensis","Anarchias seychellensis","1-22m","1"
"133","Anarchias","unid spp.",NA,NA,"?"
"134","Channomuraena","vittata","Channomuraena vittata","1-200m","1"
"135","Scuticaria","tigrina","Scuticaria tigrina","3-25m","1"
"136","Uropterygius","xanthopterus","Uropterygius alboguttatus","1-58m","1"
"137","Uropterygius","concolor","Uropterygius concolor","0-25m","1"
"138","Uropterygius","fasciolatus","Uropterygius fasciolatus","0-10m","1"
"139","Uropterygius","fuscoguttatus","Uropterygius fuscoguttatus","3-25m",NA
"140","Uropterygius","inornatus","Uropterygius inornatus","3-11m",NA
"141","Uropterygius","kamar","Uropterygius kamar","3-55m","1"
"142","Uropterygius","macrocephalus","Uropterygius macrocephalus","0-21m","1"
"143","Uropterygius","marmorata","Uropterygius marmorata","1-20m, us.<2m",NA
"144","Uropterygius","micropterus","Uropterygius micropterus","0-10m","1"
"145","Uropterygius","nagoensis","Uropterygius nagoensis","3-30m","1"
"146","Uropterygius","polyspilus","Uropterygius polyspilus","0-18m","1"
"147","Uropterygius","supraforatus","Uropterygius supraforatus","1-56m, us. <15m","1"
"148","Uropterygius","xanthopterus","Uropterygius xanthopterus","2-56m","1"
"149","Uropterygius","xenodontus","Uropterygius xenodontus","6-9m",NA
"150","Synaphobranchus","affinis","Synaphobranchus affinis","290-475m",NA
"151","Muraenichthys","gymnopterus","Muraenichthys gymnopterus",NA,"1"
"152","Muraenichthys","schultzei","Muraenichthys schultzei","1-25m","1"
"153","Muraenichthys","sibogae","Muraenichthys sibogae",NA,"1"
"154","Myrophis","microchir","Myrophis microchir","0-60m","1"
"155","Schismorhynchus","labialis","Schismorhynchus labialis","1-5mEaster","1"
"156","Schultzidia","johnstonensis","Schultzidia johnstonensis","2-23m","1"
"157","Schultzidia","retropinnis","Schultzidia retropinnis",NA,"1"
"158","Scolecenchelys","acutirostris","Scolecenchelys acutirostris",NA,"1"
"159","Scolecenchelys","gymnota","Scolecenchelys gymnota","0.2-30m",NA
"160","Scolecenchelys","laticaudata","Scolecenchelys laticaudata","0-26m",NA
"161","Scolecenchelys","macroptera","Scolecenchelys macroptera","1-20m","1"
"162","Apterichtus","klazingai","Apterichtus klazingai","1-120m",NA
"163","Brachysomophis","crocodilinus","Brachysomophis crocodilinus","1-30m","1"
"164","Brachysomophis","henshawi","Brachysomophis henshawi","1-35m","1"
"165","Callechelys","catostoma","Callechelys catostoma","0-32m","1"
"166","Callechelys","marmorata","Callechelys marmorata","1-37m","1"
"167","Cirricaecula","johnsoni","Cirricaecula johnsoni",NA,NA
"168","Evips","percinctus","Evipes percinctus","0.1 m","1"
"169","Ichthyapus","vulturis","Ichthyapus vulturus","0-18m","1"
"170","Lamnostoma","orientale","Lamnastoma orientalis","1-50m","1"
"171","Lamnostoma","polyophthalmum","Lamnastoma polyophthalmum",NA,"1"
"172","Leiuranus","semicinctus","Leiuranus semicinctus","1-30m","1"
"173","Leiuranus","versicolor","Leiuranus versicolor","3-18m","1"
"174","Myrichthys","colubrinus","Myrichthys colubrinus","0-50m","1"
"175","Myrichthys","maculosus","Myrichthys maculosus","0->160m","1"
"176","Ophichthus","altipennis","Ophichthus altipennis","0.5-40m","1"
"177","Ophichthus","asakusae","Ophichthus asakusae","sh-100m","1"
"178","Ophichthus","bonaparti","Ophichthus bonaparti","tidepools-20m","1"
"179","Ophichthus","cephalozona","Ophichthus cephalozona","2-30m","1"
"180","Ophichthus","polyophthalmus","Ophichthus polyophthalmus","1-25m","?"
"181","Ophichthus","sp","Ophichthus sp",NA,"1"
"182","Phaenomonas","cooperae","Phaenomonas cooperae","21-61m","1"
"183","Phyllophichthus","xenodontus","Phyllophichthus xenodontus","1-21m","1"
"184","Xestochilus","nebulosus","Xestochilus nebulosus","1-42m","1"
"185","Muraenesox","cinereus","Muraenesox cinereus","10-100m",NA
"186","Ariosoma","fasciatum","Ariosoma fasciatum","3-50m",NA
"187","Ariosoma","megalops","Ariosoma megalops",NA,"1"
"188","Ariosoma","scheelei","Ariosoma scheelei","1-10m","1"
"189","Blachea","xenobranchialis","Blachea xenobranchialis","348–360 m","x"
"190","Conger","cinereus","Conger cinereus","1-80m","1"
"191","Conger","sp. cf macrocephalus Kanazawa 1958",NA,"180-240m",NA
"192","Gorgasia","galzini","Gorgasia galzini","15-53m","?"
"193","Gorgasia","preclara","Gorgasia preclara","5-75m","1"
"194","Gorgasia","taiwanensis","Gorgasia taiwanensis","13m",NA
"195","Gorgasia","sp","Gorgasia sp","15mBali","1"
"196","Heteroconger","hassi","Heteroconger hassi","1-50m","1"
"197","Heteroconger","lentiginosus","Heteroconger lentiginosus","10-40m",NA
"198","Encrasicholina","devisi","Encrasicholina heteroloba","0-50m","1"
"199","Encrasicholina","heteroloba","Encrasicholina pseudoheteroloba","0-50m","1"
"200","Encrasicholina","punctifer","Encrasicholina punctifer","0-50m","1"
"201","Stolephorus","indicus","Stolephorus indicus","0-50m","1"
"202","Stolephorus","insignus","Stolephorus insignus",NA,NA
"203","Stolephorus","insularis","Stolephorus insularis",NA,"1"
"204","Stolephorus","multibranchus","Stolephorus multibranchus",NA,NA
"205","Stolephorus","pacificus","Stolephorus pacificus",NA,NA
"206","Stolephorus","waitei","Stolephorus waitei","0-50m","1"
"207","Thryssa","baelama","Thrissina baelama","0-50m","1"
"208","Thryssa","hamiltonii","Thrissina hamiltoni","0-50m","1"
"209","Thryssa","mystax","Thrissina mystax","0-50m","1"
"210","Chirocentrus","dorab","Chirocentrus dorab","0-120m","1"
"211","Spratelloides","atrofasciatus","Spratelloides atrofasciatus",NA,"?"
"212","Spratelloides","delicatulus","Spratelloides delicatulus","0-50m","1"
"213","Spratelloides","gracilis","Spratelloides gracilis","0-40m","1"
"214","Spratelloides","unid. sp. (=one of above)",NA,NA,NA
"215","Dussumieria","elopsoides","Dussumieria elopsoides","0-50m","1"
"216","Dussumieria","sp","Dussumieria sp",NA,"1"
"217","Amblygaster","clupeoides","Amblygaster clupeoides","0-50m","1"
"218","Amblygaster","leiogaster","Amblygaster leiogaster","0-50m","1"
"219","Amblygaster","sirm","Amblygaster sirm","0-50m","1"
"220","Herklotsichthys","n. sp. /spp.",NA,NA,NA
"221","Herklotsichthys","quadrimaculatus","Herklotsichthys quadrimaculatus","0-13m","1"
"222","Sardinella","melanura","Sardinella melanura","0-50m",NA
"223","Chanos","chanos","Chanos chanos","1-20m(50m)e Med","1"
"224","Plotosus","lineatus","Plotosus lineatus","1-60m(100m)","1"
"225","Guentherus","katoi","Guentherus katoi","319.5-352.5 m",NA
"226","Paraulopus","unid sp n Marianas",NA,"258m",NA
"227","Saurida","gracilis","Saurida gracilis","1-(135)338m","1"
"228","Saurida","nebulosa","Saurida nebulosa","1-60m","1"
"229","Synodus","binotatus","Synodus binotatus","1-88m","1"
"230","Synodus","dermatogenys","Synodus dermatogenys","1-97m","1"
"231","Synodus","fasciapelvicus","Synodus fasciapelvicus","26-29; 120m Gu",NA
"232","Synodus","jaculum","Synodus jaculum","2-100m","1"
"233","Synodus","lobeli","Synodus lobeli","2-32m",NA
"234","Synodus","rubromarmoratus","Synodus rubromarmoratus","5-98m","1"
"235","Synodus","variegatus","Synodus variegatus","2-121m","1"
"236","Trachinocephalus","trachinus","Trachinocephalus trachinus","1-200m",NA
"237","Polymixia","berndti","Polymixia berndti","18-529m; HI 99-441m","x"
"238","Polymixia","japonica","Polymixia japonica",NA,"?"
"239","Carapus","mourlani","Carapus mourlani","3-150m","1"
"240","Encheliophis","boraborensis","Encheliophis boraborensis","1-150m","1"
"241","Encheliophis","gracilis","Encheliophis gracilis","1-62m","1"
"242","Encheliophis","homei","Encheliophis homei","0-30m","1"
"243","Encheliophis","vermicularis","Encheliophis vermicularis","30-70m","1"
"244","Onuxodon","fowleri","Onuxodon fowleri","1-30m",NA
"245","Unid.","sp.",NA,"in ascidian",NA
"246","Brotula","multibarbata","Brotula multibarbata","1-650m","1"
"247","Brotula","townsendi","Brotula townsendi","10-15m",NA
"248","Neobythites","macrocelli","Neobythites macrocelli","285 m",NA
"249","Neobythites","marianaensis","Neobythites marianaensis","302 m",NA
"250","Neobythites","zonatus","Neobythites zonatus","274 m",NA
"251","Brosmophyciops","pautzkei","Brosmophyciops pautzkei","5-55m","1"
"252","Ematops","randalli","Ematops randalli","5-46m",NA
"253","Tuamotuichthys","marshallensis","Tuamotuichthys marshallensis","46-55m",NA
"254","Alionematichthys","crassiceps","Alionematichthys crassiceps","0-4m","1"
"255","Alionematichthys","piger","Alionematichthys piger","0-64m",NA
"256","Alionematichthys","riukiuensis","Alionematichthys riukiuensis","0-10m","1"
"257","Diancistrus","atollorum","Diancistrus atollorum","1-4m",NA
"258","Diancistrus","beateae","Diancistrus beateae","1-25m",NA
"259","Diancistrus","karinae","Diancistrus karinae","16m","1"
"260","Diancistrus","mennei","Diancistrus mennei",NA,NA
"261","Diancistrus","pohnpeiensis","Diancistrus pohnpeiensis","27-46m",NA
"262","Dinematichthys","iluocoeteoides","Dinematichthys iluocoeteoides","0-30m","1"
"263","Bregmaceros","japonicus","Bregmaceros japonicus","25-≥966m",NA
"264","Bregmaceros","nectabanus","Bregmaceros nectabanus",NA,"1"
"265","Bregmaceros","rarisquamosus","Bregmaceros rarisquamosus","0-2000m","1"
"266","Laemonema","rhodochir","Laemonema rhodochir","95-550m",NA
"267","Physiculus","unid. spp.",NA,"260-270m",NA
"268","Lophiodes","mutilus","Lophiodes mutilus","58-658m","x"
"269","Antennarius","biocellatus","Antennarius biocellatus","0-73m","1"
"270","Antennarius","commerson","Antennarius commerson","0-90m","1"
"271","Antennarius","maculatus","Antennarius maculatus","1-15m",NA
"272","Antennarius","pictus","Antennarius pictus","1-75m","1"
"273","Antennarius","randalli","Antennarius randalli","8-31m",NA
"274","Antennarius","striatus","Antennarius striatus","1-219m; HI 90-181m","1"
"275","Abantennarius","analis","Antennatus analis","1.5-21m","1"
"276","Abantennarius","coccineus","Antennatus coccineus","0-104m","1"
"277","Abantennarius","dorehensis","Antennatus dorehensis","0-15m","1"
"278","Abantennarius","nummifer","Antennatus nummifer","0-293m","1"
"279","Abantennarius","rosaceus","Antennatus rosaceus","0-130m","1"
"280","Antennatus","tuberosus","Antennatus tuberosus","0-73m",NA
"281","Histrio","histrio","Histrio histrio","0-50m","1"
"282","unid","unid spp",NA,NA,"x"
"283","1","LOPHYCHTHYIDAE",NA,NA,NA
"284","Chaunacops","coloratus","Chaunacops coloratus","2004m",NA
"285","Chaunax","cf fimbriatus Palau",NA,NA,"x"
"286","Chaunax","cf umbrinus Marianas",NA,"343m",NA
"287","Chaunax","sp 2 Marianas",NA,"459m",NA
"288","Halieutaea","indica","Halieutaea indica","8-216m",NA
"289","Halieutaea","stellata","Halieutaea stellata","30-400m",NA
"290","unid gen","unid sp Marianas",NA,NA,NA
"291","unid","unid spp",NA,NA,NA
"292","Neomyxus","leuciscus","Neomyxus leuciscus","1-4m",NA
"293","Mugil","cephalus","Mugil cephalus","0-50m","?"
"294","Crenimugil","crenilabis","Crenimugil crenilabis","0-50m","1"
"295","Crenimugil","heterocheilos","Crenimugil heterocheilos","0-3m","1"
"296","Crenimugil","pedaraki","Crenimugil pedaraki","0-50m","?"
"297","Crenimugil","seheli","Crenimugil seheli","0-4m(5-50m);caeruleomaculatus=","1"
"298","Ellochelon","vaigiensis","Ellochelon vaigiensis","0-3m(5-50m)","1"
"299","Osteomugil","cunnesius","Osteomugil cunnesius","5-50m","?"
"300","Osteomugil","engeli","Osteomugil engeli","0-3m","1"
"301","Osteomugil","perusii","Osteomugil perusii","0-3m","1"
"302","Plicomugil","labiosus","Plicomugil labiosus","5-50m","1"
"303","Planiliza","carinata","Planiliza carinata","1-50m",NA
"304","Planiliza","macrolepis","Planiliza macrolepis","1-50m","1"
"305","Planiliza","melinoptera","Planiliza melinoptera","0-50m","1"
"306","Planiliza","tade","Planiliza tade",NA,"?"
"307","Hypoatherina","celebesensis","Hypoatherina celebesensis","1-2m","1"
"308","Hypoatherina","macrophthalma","Hypoatherina macrophthalma","0-3m",NA
"309","Hypoatherina","ovalaua","Hypoatherina ovalaua",NA,"1"
"310","Doboatherina","duodecimalis","Atherinomorus duodecimalis",NA,"1"
"311","Atherinomorus","endrachtensis","Atherinomorus endrachtensis","0-4m","1"
"312","Atherinomorus","lacunosus","Atherinomorus lacunosus","0-25m","1"
"313","Atherinomorus","lineatus","Atherinomorus lineatus",NA,"x"
"314","Atherinomorus","whitei","Atherinomorus whitei","0-2m",NA
"315","Atherion","elymus","Atherion elymus","0-3m","1"
"316","Hypoatherina","barnesi","Hypoatherina barnesi","0-25m","1"
"317","Stenatherina","panatela","Hypoatherina panatela","0-5m","1"
"318","Hypoatherina","temminckii","Hypoatherina temmincki","0-25m","1"
"319","Hypoatherina","uisila","Hypoatherina uisila",NA,NA
"320","Iso","hawaiiensis","Iso hawaiiensis","0-2m",NA
"321","Ablennes","hians","Ablennes hians","0-2m","1"
"322","Platybelone","argalus","Platybelone argalus platyura","0-2m","1"
"323","Strongylura","incisa","Strongylura incisa","0-2m","1"
"324","Strongylura","leiura","Strongylura leiura leiura","0-3m","1"
"325","Strongylura","strongylura","Strongylura strongylura",NA,"1"
"326","Strongylura","unid spp",NA,NA,NA
"327","Strongylura","urvillii","Strongylura urvilli","0-3m","1"
"328","Tylosurus","crocodilus","Tylosurus crocodilus crocodilus","0-3m","1"
"329","Tylosurus","melanotus","Tylosurus melanotus","0-1m","1"
"330","Tylosurus","punctulatus","Tylosurus punctulatus","0-1m","1"
"331","1","HEMIRHAMPHIDAE (HALFBEAKS)*",NA,NA,NA
"332","Euleptorhamphus","viridis","Euleptorhamphus viridis","0-15m","1"
"333","Hemiramphus","archipelagicus","Hemiramphus archipelagicus","0-6m","1"
"334","Hemiramphus","convexus","Hemiramphus convexus convexus","0-6m",NA
"335","Hemiramphus","far","Hemiramphus far","surface","1"
"336","Hemiramphus","lutkei","Hemiramphus lutkei",NA,"1"
"337","Hyporhamphus","acutus","Hyporhamphus acutus acutus","over dp lagoons",NA
"338","Hyporhamphus","affinis","Hyporhamphus affinis","0-1m","1"
"339","Hyporhamphus","balinensis","Hyporhamphus balinensis","0-6m","1"
"340","Hyporhamphus","dussumieri","Hyporhamphus dussumieri","0-6m","1"
"341","Oxyporhamphus","micropterus","Oxyporhamphus micropterus","0-6m","x"
"342","1","ZENARCHOPTERIDAE (FRESHWATER HALFBEAKS)*",NA,NA,NA
"343","Zenarchopterus","buffonis","Zenarchopterus buffonis","0-1m","1"
"344","Zenarchopterus","dispar","Zenarchopterus dispar","0-3m","1"
"345","Zenarchopterus","gilli","Zenarchopterus gilli",NA,"1"
"346","Cheilopogon","atrisignis","Cheilopogon atrisignis","neritic, oceanic","1"
"347","Cheilopogon","cyanopterus","Cheilopogon cyanopterus","neritic, oceanic","1"
"348","Cheilopogon","dorsomacula","Cheilopogon dorsomacula","oceanic","x"
"349","Cheilopogon","fisunovi","Cheilopogon fisunovi","oceanic","x"
"350","Cheilopogon","intermedius","Cheilopogon intermedius","nearshore, neritic","1"
"351","Cheilopogon","spilonotopterus","Cheilopogon spilonotopteru","neritic, oceanic","1"
"352","Cheilopogon","spilopterus","Cheilopogon spilopterus","nearshore, neritic","1"
"353","Cheilopogon","suttoni","Cheilopogon suttoni","oceanic","x"
"354","Cheilopogon","unicolor","Cheilopogon unicolor","neritic, oceanic","1"
"355","Cypselurus","angusticeps","Cypselurus angusticeps","neritic, oceanic","1"
"356","Cypselurus","naresii","Cypselurus naresii","neritic, oceanic","1"
"357","Cypselurus","poecilopterus","Cypselurus poecilopterus","neritic","1"
"358","Exocoetus","monocirrhus","Exocoetus monochirus","neritic, oceanic","1"
"359","Exocoetus","volitans","Exocoetus volitans","oceanic","x"
"360","Hirundichthys","speculiger","Hirundichthys speculiger","oceanic",NA
"361","Parexocoetus","brachypterus","Parexocoetus brachypterus","neritic","1"
"362","Parexocoetus","mento","Parexocoetus mento","neritic never open sea",NA
"363","Prognichthys","albimaculatus","Prognichthys albimaculatus","oceanic","x"
"364","Prognichthys","brevipinnis","Prognichthys brevipinnis","neritic","1"
"365","Prognichthys","sealei","Prognichthys sealei","oceanic","1"
"366","Gephyroberyx","japonicus","Gephyroberyx japonicus","200-660m","x"
"367","Hoplostethus","cf crasispinus","Hoplostethus","350-650m",NA
"368","Anamolops","katoptron","Anamolops katoptron","1-365m",NA
"369","Photoblepharon","palpebratum","Photoblepharon palpebratus","1-50m","1"
"370","Centroberyx","druzhinini","Centroberyx druzhinini","60-300m",NA
"371","Myripristis","adusta","Myripristis adusta","2-30m","1"
"372","Myripristis","amaena","Myripristis amaena","5-25m","1"
"373","Myripristis","berndti","Myripristis berndti","3-159m","1"
"374","Myripristis","botche","Myripristis botche","10-70m","1"
"375","Myripristis","chryseres","Myripristis chryseres","12-350m","1"
"376","Myripristis","hexagona","Myripristis hexagona","1-45m","1"
"377","Myripristis","kuntee","Myripristis kuntee","2-≥91m","1"
"378","Myripristis","murdjan","Myripristis murdjan","1-61m","1"
"379","Myripristis","pralinia","Myripristis pralinia","2-85m","1"
"380","Myripristis","violacea","Myripristis violacea","2-30m","1"
"381","Myripristis","vittata","Myripristis vittata","3-≥91m","1"
"382","Myripristis","woodsi","Myripristis woodsi","0-3m",NA
"383","Ostichthys","archiepiscopus","Ostichthys archiepiscopus","90-400m",NA
"384","Ostichthys","brachygnathus","Ostichthys brachygnathus","230m",NA
"385","Ostichthys","kaianus","Ostichthys kaianus","186-640m",NA
"386","Ostichthys","sandix","Ostichthys sandix","84(320)-400m",NA
"387","Plectrypops","lima","Plectrypops lima","5-43m","1"
"388","Pristilepis","oligolepis","Pristilepis oligolepis","9-281m;165-348mJI;102-281mHI;9mMdwy",NA
"389","Neoniphon","argenteus","Neoniphon argenteus","1-30m","1"
"390","Neoniphon","aurolineatus","Neoniphon aurolineatus","20-188m","1"
"391","Neoniphon","opercularis","Neoniphon opercularis","1-25m","1"
"392","Neoniphon","sammara","Neoniphon sammara","0-77m","1"
"393","Sargocentron","caudimaculatum","Sargocentron caudimaculatum","2-45m","1"
"394","Sargocentron","dorsomaculatum","Sargocentron dorsomaculatum","1-9m","1"
"395","Sargocentron","ensifer","Sargocentron ensifer","18-64m",NA
"396","Sargocentron","iota","Sargocentron iota","1-34m","1"
"397","Sargocentron","lepros","Sargocentron lepros","10-45m",NA
"398","Sargocentron","melanospilos","Sargocentron melanospilos","5-105m","1"
"399","Sargocentron","praslin","Sargocentron praslin","1-20m(3-50m)","1"
"400","Sargocentron","spiniferum","Sargocentron spiniferum","1-122m","1"
